Category,Name,ExportStatus,Notes,Power,HP,ATK,DEF,Role,Element
Master,Kiki,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Kuman,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Lucy,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Trisha,Exported - DEFORMS on clips - needs rig re-export,,,,,,,
Master,Haeun,NOT exported - crashes Blender FBX importer,,,,,,,
Master,Kinseri,NOT exported - crashes Blender FBX importer,,,,,,,
Master,Amos,"NOT exported - source present, no clean export",,,,,,,
Master,Dragon_Cho,NOT exported - built with bone warnings,,,,,,,
Master,Mopi,"NOT exported - source present, no clean export",,,,,,,
Master,Nami,"NOT exported - source present, no clean export",,,,,,,
Master,Type_Aiden,NOT processed (Type_ variant),,,,,,,
Master,Type_Aika,NOT processed (Type_ variant),,,,,,,
Master,Type_Alice,NOT processed (Type_ variant),,,,,,,
Master,Type_Chad,NOT processed (Type_ variant),,,,,,,
Master,Type_Chris,NOT processed (Type_ variant),,,,,,,
Master,Type_Shaiya,NOT processed (Type_ variant),,,,,,,
Boss,Centaur_Warrior_Fire,Exported,,,,,,,
Boss,Centaur_Warrior_Water,Exported,,,,,,,
Boss,Sunwon_Magician_Fire,Exported,,,,,,,
Boss,Zouwan_Warrior_Fire,Exported,,,,,,,
Boss,World_1,Exported,,,,,,,
Boss,World_2,Exported,,,,,,,
Boss,World_3,Exported,,,,,,,
Boss,World_4,Exported,,,,,,,
Boss,Raid_LeeKoon,Exported - spot-check (segmented rig),,,,,,,
Boss,Elemental,Exported - STATIC (0 clips),,,,,,,
Monster,Goblin,Exported,,,,,,,
Monster,Goblin_Gold,Exported,,,,,,,
Monster,Gnoll_01_Claw,Exported,,,,,,,
Monster,Gnoll_02_AxeShield,Exported,,,,,,,
Monster,Gnoll_02_MaceShield,Exported,,,,,,,
Monster,Gnoll_03_Dynamite,Exported,,,,,,,
Monster,Gnoll_03_Spear,Exported,,,,,,,
Monster,Elemental_Magic,Exported - STATIC/low-clip,,,,,,,
Monster,Elemental_Knight,Exported,,,,,,,
Monster,Golem,Exported - STATIC/low-clip,,,,,,,
Monster,Skell_Base,Exported,,,,,,,
Monster,Skell_Bluto,Exported,,,,,,,
Monster,Skell_Jodan,Exported - STATIC/low-clip,,,,,,,
Monster,Skell_Kai,Exported,,,,,,,
Monster,Skell_Magic,Exported - STATIC/low-clip,,,,,,,
Monster,Skell_Robin,Exported - STATIC/low-clip,,,,,,,
Monster,Ep02_Ice_Gargoyle_Warrior,Exported,,,,,,,
Monster,Ep02_Ice_Gargoyle_Warrior_Elite,Exported,,,,,,,
Monster,Ep02_Ice_Wolf,Exported,,,,,,,
Monster,Ep02_Snowman_01_Archer,Exported,,,,,,,
Monster,Ep02_Snowman_02_SpearShield_Elite,Exported,,,,,,,
Monster,Ep02_Snowman_03_Warrior_Elite,Exported,,,,,,,
Monster,Ep02_Summon_Wolf,Exported,,,,,,,
Monster,Ep03_KoboldsBomber_Warrior,Exported,,,,,,,
Monster,Ep03_KoboldsMiner_Warrior,Exported,,,,,,,
Monster,Ep03_KoboldsSlave_Warrior,Exported,,,,,,,
Monster,Ep03_Kobolds_MaceShield_Elite,Exported,,,,,,,
Monster,Ep03_Kobolds_Magician,Exported,,,,,,,
Monster,Ep03_Kobolds_Swordshield,Exported,,,,,,,
Monster,Ep03_MineMole_Warrior_Fire,Exported,,,,,,,
Monster,Ep03_MineMole_Warrior_Elite_Fire,Exported,,,,,,,
Monster,Ep03_Story_Slave,Exported,,,,,,,
Monster,Ep04_Lizard_StandofAttack_Fire,Exported,,,,,,,
Monster,Ep04_Mummy_Archer_Fire,Exported,,,,,,,
Monster,Ep04_Mummy_Magician_Fire,Exported,,,,,,,
Monster,Ep04_Mummy_Warrior_Fire,Exported,,,,,,,
Monster,Ep05_Horus_Magician_Elite_Fire,Exported,,,,,,,
Monster,Ep05_Minotaur,Exported,,,,,,,
Monster,Ep05_Statue_Griffin_Warrior,Exported,,,,,,,
Monster,Ep05_Statue_Griffin_Warrior_Elite,Exported,,,,,,,
Monster,Ep05_Statue_Lion_Warrior,Exported,,,,,,,
Monster,Ep05_Statue_Lion_Warrior_Elite,Exported,,,,,,,
Monster,Ep06_Story_Umparos,Exported,,,,,,,
Monster,Ep06_Werewolf,Exported,,,,,,,
Monster,Ep11_DogRobot_DF_Elite,Exported,,,,,,,
Monster,Ep11_Engineer_Gun_LR,Exported,,,,,,,
Monster,Ep11_Engineer_Hammer_DF,Exported,,,,,,,
Monster,Ep11_Engineer_Spanner_SR,Exported,,,,,,,
Monster,Ep11_HumanRobot_AX_SR,Exported,,,,,,,
Monster,Ep11_HumanRobot_Armor_DF,Exported,,,,,,,
Monster,Ep11_HumanRobot_Gun_LR_Elite,Exported,,,,,,,
Hero,Irene (Balance/Destroy/Fatal/Quick Mythic + Tokens 1-3),Exported - weapon-in-hand fixed,,,,,,,
Hero,Kai,Exported - weapon-in-hand fixed,,,,,,,
Hero,Leah,Exported - weapon-in-hand fixed,,,,,,,
